IDSUBSLS,IDSLS,KDKEC,KDDESA,NMKEC,NMDESA,NMSLS
1708010005000700,17080100050007,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 7
1708060006000400,17080600060004,060,006,KABA WETAN,BABAKAN BOGOR,DUSUN 4
1708060004001000,17080600040010,060,004,KABA WETAN,TANGSI BARU,RT 10 RW 2
1708040013000200,17080400130002,040,013,TEBAT KARAI,TABA SALING,DUSUN 2
1708080006000400,17080800060004,080,006,MERIGI,SIMPANG KOTA BINGIN,DUSUN 4
1708070007000100,17080700070001,070,007,UJAN MAS,SURO BARU,DUSUN 1
1708010005000300,17080100050003,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 3
1708060011000200,17080600110002,060,011,KABA WETAN,SIDO MAKMUR,DUSUN 2
1708050016000300,17080500160003,050,016,KEPAHIANG,KELOBAK,DUSUN 3
1708050010000900,17080500100009,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 9 RW 3
1708020006000500,17080200060005,020,006,BERMANI ILIR,EMBONG IJUK,DUSUN 5
1708080003000900,17080800030009,080,003,MERIGI,DURIAN DEPUN,RT 9
1708080004000500,17080800040005,080,004,MERIGI,PULO GETO,DUSUN 5
1708080007000100,17080800070001,080,007,MERIGI,BATU AMPAR,DUSUN 1
1708010008000400,17080100080004,010,008,MUARA KEMUMU,WARUNG POJOK,DUSUN 4
1708020015000200,17080200150002,020,015,BERMANI ILIR,SOSOKAN CINTO MANDI,DUSUN 2
1708050007000300,17080500070003,050,007,KEPAHIANG,WESKUST,DUSUN 3
1708050005001400,17080500050014,050,005,KEPAHIANG,PASAR UJUNG,RT 14 RW 5
1708060007000300,17080600070003,060,007,KABA WETAN,BARAT WETAN,DUSUN 3
1708010005001100,17080100050011,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 11
1708030006000100,17080300060001,030,006,SEBERANG MUSI,TEMDAK,DUSUN 1
1708060015000100,17080600150001,060,015,KABA WETAN,SIDO REJO,DUSUN 1
1708050015000300,17080500150003,050,015,KEPAHIANG,PELANGKIAN,DUSUN 3
1708040011000100,17080400110001,040,011,TEBAT KARAI,TEBING PENYAMUN,DUSUN 1
1708030001000100,17080300010001,030,001,SEBERANG MUSI,BENUANG GALING,DUSUN 1
1708070002000300,17080700020003,070,002,UJAN MAS,UJAN MAS BAWAH,DUSUN 3
1708070009000100,17080700090001,070,009,UJAN MAS,PUNGGUK MERANTI,DUSUN 1
1708060003000300,17080600030003,060,003,KABA WETAN,TANGSI DUREN,DUSUN 3
1708070003001200,17080700030012,070,003,UJAN MAS,UJAN MAS ATAS,RT 12 RW 3
1708070017000300,17080700170003,070,017,UJAN MAS,DASPETAH II,DUSUN 3
1708060001000100,17080600010001,060,001,KABA WETAN,SUKA SARI,DUSUN 1
1708060008200100,17080600082001,060,008,KABA WETAN,AIR SEMPIANG,HUTAN
1708050018000300,17080500180003,050,018,KEPAHIANG,SUKA MERINDU,DUSUN 3
1708040001000200,17080400010002,040,001,TEBAT KARAI,TERTIK,DUSUN 2
1708070001000800,17080700010008,070,001,UJAN MAS,DASPETAH,DUSUN 8
1708060004000900,17080600040009,060,004,KABA WETAN,TANGSI BARU,RT 9 RW 2
1708080003000700,17080800030007,080,003,MERIGI,DURIAN DEPUN,RT 7
1708070009000400,17080700090004,070,009,UJAN MAS,PUNGGUK MERANTI,DUSUN 4
1708070008000700,17080700080007,070,008,UJAN MAS,PEKALONGAN,DUSUN 7
1708060003200100,17080600032001,060,003,KABA WETAN,TANGSI DUREN,HUTAN
1708040010200100,17080400102001,040,010,TEBAT KARAI,TAPAK GEDUNG,HUTAN
1708020014000200,17080200140002,020,014,BERMANI ILIR,BUKIT MENYAN,DUSUN 2
1708040012000300,17080400120003,040,012,TEBAT KARAI,SINAR GUNUNG,DUSUN 3
1708050011000900,17080500110009,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 9 RW 4
1708020001000100,17080200010001,020,001,BERMANI ILIR,KEMBANG SERI,DUSUN 1
1708010007000700,17080100070007,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 7
1708070016100100,17080700161001,070,016,UJAN MAS,AIR HITAM,KEBUN
1708050017000300,17080500170003,050,017,KEPAHIANG,PAGAR GUNUNG,DUSUN 3
1708010002000800,17080100020008,010,002,MUARA KEMUMU,BATU KALUNG,DUSUN 8
1708040013000100,17080400130001,040,013,TEBAT KARAI,TABA SALING,DUSUN 1
1708040003000200,17080400030002,040,003,TEBAT KARAI,PENANJUNG PANJANG,DUSUN 2
1708010004000100,17080100040001,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 1
1708080002000100,17080800020001,080,002,MERIGI,BUKIT BARISAN,DUSUN 1
1708010004000200,17080100040002,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 2
1708050005001100,17080500050011,050,005,KEPAHIANG,PASAR UJUNG,RT 11 RW 4
1708050009000400,17080500090004,050,009,KEPAHIANG,PENSIUNAN,RT 4 RW 1
1708050013000400,17080500130004,050,013,KEPAHIANG,KARANG ANYAR,DUSUN 4
1708070003000100,17080700030001,070,003,UJAN MAS,UJAN MAS ATAS,RT 1 RW 1
1708080004000400,17080800040004,080,004,MERIGI,PULO GETO,DUSUN 4
1708070007000500,17080700070005,070,007,UJAN MAS,SURO BARU,DUSUN 5
1708020004000500,17080200040005,020,004,BERMANI ILIR,TALANG SAWAH,DUSUN 5
1708060002000200,17080600020002,060,002,KABA WETAN,BUKIT SARI,DUSUN 2
1708060009000200,17080600090002,060,009,KABA WETAN,TUGU REJO,DUSUN 2
1708050020000300,17080500200003,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 3 RW 2
1708010005000900,17080100050009,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 9
1708050010000200,17080500100002,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 2 RW 1
1708030008000300,17080300080003,030,008,SEBERANG MUSI,CIREBON BARU,DUSUN 3
1708050019000900,17080500190009,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 9 RW 3
1708020006000200,17080200060002,020,006,BERMANI ILIR,EMBONG IJUK,DUSUN 2
1708050009000600,17080500090006,050,009,KEPAHIANG,PENSIUNAN,RT 6 RW 2
1708030012000300,17080300120003,030,012,SEBERANG MUSI,BAYUNG,DUSUN 3
1708070010000100,17080700100001,070,010,UJAN MAS,BUMI SARI,DUSUN 1
1708010005000200,17080100050002,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 2
1708030011000300,17080300110003,030,011,SEBERANG MUSI,TALANG BABATAN,DUSUN 3
1708020009000400,17080200090004,020,009,BERMANI ILIR,KEBAN AGUNG,RT 4 RW 2
1708070007000400,17080700070004,070,007,UJAN MAS,SURO BARU,DUSUN 4
1708040014200200,17080400142002,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,HUTAN
1708040014000500,17080400140005,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,DUSUN 5
1708060008000300,17080600080003,060,008,KABA WETAN,AIR SEMPIANG,DUSUN 3
1708050009001100,17080500090011,050,009,KEPAHIANG,PENSIUNAN,RT 11 RW 3
1708070015000300,17080700150003,070,015,UJAN MAS,MERANTI JAYA,DUSUN 3
1708040009000300,17080400090003,040,009,TEBAT KARAI,KARANG TENGAH,DUSUN 3
1708020008000500,17080200080005,020,008,BERMANI ILIR,CINTO MANDI,DUSUN 5
1708060005000100,17080600050001,060,005,KABA WETAN,PEMATANG DONOK,DUSUN 1
1708060013000100,17080600130001,060,013,KABA WETAN,MEKAR SARI,DUSUN 1
1708060013000200,17080600130002,060,013,KABA WETAN,MEKAR SARI,DUSUN 2
1708080003001200,17080800030012,080,003,MERIGI,DURIAN DEPUN,RT 12
1708060002200100,17080600022001,060,002,KABA WETAN,BUKIT SARI,HUTAN
1708060012200100,17080600122001,060,012,KABA WETAN,SUMBER SARI,HUTAN
1708050019000800,17080500190008,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 8 RW 3
1708040002100100,17080400021001,040,002,TEBAT KARAI,TABA AIR PAUH,PERKEBUNAN
1708080005000200,17080800050002,080,005,MERIGI,TABA MULAN,DUSUN 2
1708060001000200,17080600010002,060,001,KABA WETAN,SUKA SARI,DUSUN 2
1708080005000400,17080800050004,080,005,MERIGI,TABA MULAN,DUSUN 3
1708080002000400,17080800020004,080,002,MERIGI,BUKIT BARISAN,DUSUN 4
1708040002200200,17080400022002,040,002,TEBAT KARAI,TABA AIR PAUH,HUTAN
1708040003100100,17080400031001,040,003,TEBAT KARAI,PENANJUNG PANJANG,PERKEBUNAN
1708020005000400,17080200050004,020,005,BERMANI ILIR,KOTA AGUNG,DUSUN 3
1708020019000300,17080200190003,020,019,BERMANI ILIR,CINTA MANDI BARU,DUSUN 3
1708020019000100,17080200190001,020,019,BERMANI ILIR,CINTA MANDI BARU,DUSUN 1
1708020005000200,17080200050002,020,005,BERMANI ILIR,KOTA AGUNG,DUSUN 2
1708020004000100,17080200040001,020,004,BERMANI ILIR,TALANG SAWAH,DUSUN 1
1708070010000400,17080700100004,070,010,UJAN MAS,BUMI SARI,DUSUN 4
1708040014100100,17080400141001,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,PERKEBUNAN
1708060015000200,17080600150002,060,015,KABA WETAN,SIDO REJO,DUSUN 2
1708030011000400,17080300110004,030,011,SEBERANG MUSI,TALANG BABATAN,DUSUN 4
1708050008000100,17080500080001,050,008,KEPAHIANG,KAMPUNG BOGOR,DUSUN 1
1708050008000300,17080500080003,050,008,KEPAHIANG,KAMPUNG BOGOR,DUSUN 3
1708070015000100,17080700150001,070,015,UJAN MAS,MERANTI JAYA,DUSUN 1
1708010007000600,17080100070006,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 6
1708050023000300,17080500230003,050,023,KEPAHIANG,PERMU BAWAH,DUSUN 3
1708050021001200,17080500210012,050,021,KEPAHIANG,PADANG LEKAT,RT 12 RW 2
1708010004001000,17080100040010,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 10
1708030008200100,17080300082001,030,008,SEBERANG MUSI,CIREBON BARU,HUTAN
1708080002000200,17080800020002,080,002,MERIGI,BUKIT BARISAN,DUSUN 2
1708020005000100,17080200050001,020,005,BERMANI ILIR,KOTA AGUNG,DUSUN 1
1708060007000200,17080600070002,060,007,KABA WETAN,BARAT WETAN,DUSUN 2
1708050018000100,17080500180001,050,018,KEPAHIANG,SUKA MERINDU,DUSUN 1
1708030010000400,17080300100004,030,010,SEBERANG MUSI,AIR PESI,DUSUN 4
1708050009001000,17080500090010,050,009,KEPAHIANG,PENSIUNAN,RT 10 RW 3
1708020017000300,17080200170003,020,017,BERMANI ILIR,AIR RAMAN,DUSUN 3
1708070001000300,17080700010003,070,001,UJAN MAS,DASPETAH,DUSUN 3
1708020015000600,17080200150006,020,015,BERMANI ILIR,SOSOKAN CINTO MANDI,DUSUN 6
1708010003000200,17080100030002,010,003,MUARA KEMUMU,SOSOKAN BARU,DUSUN 2
1708040006000500,17080400060005,040,006,TEBAT KARAI,TEBAT KARAI,RT 5 RW 3
1708040002000200,17080400020002,040,002,TEBAT KARAI,TABA AIR PAUH,DUSUN 2
1708070008100200,17080700081002,070,008,UJAN MAS,PEKALONGAN,PERKEBUNAN
1708040014000400,17080400140004,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,DUSUN 4
1708020008000600,17080200080006,020,008,BERMANI ILIR,CINTO MANDI,DUSUN 6
1708020017000500,17080200170005,020,017,BERMANI ILIR,AIR RAMAN,DUSUN 5
1708050010500100,17080500105001,050,010,KEPAHIANG,PASAR KEPAHIANG,TAMAN KOTA KEPAHIANG DAN TUGU
1708050015000401,17080500150004,050,015,KEPAHIANG,PELANGKIAN,DUSUN 4
1708060004000700,17080600040007,060,004,KABA WETAN,TANGSI BARU,RT 7 RW 2
1708050021001501,17080500210015,050,021,KEPAHIANG,PADANG LEKAT,RT 15 RW 3
1708050012000500,17080500120005,050,012,KEPAHIANG,KUTO REJO,DUSUN 5
1708020017000400,17080200170004,020,017,BERMANI ILIR,AIR RAMAN,DUSUN 4
1708030002000200,17080300020002,030,002,SEBERANG MUSI,AIR SELIMANG,DUSUN 2
1708010005000600,17080100050006,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 6
1708050017000100,17080500170001,050,017,KEPAHIANG,PAGAR GUNUNG,DUSUN 1
1708050021000100,17080500210001,050,021,KEPAHIANG,PADANG LEKAT,RT 1 RW 1
1708020017000100,17080200170001,020,017,BERMANI ILIR,AIR RAMAN,DUSUN 1
1708050005000700,17080500050007,050,005,KEPAHIANG,PASAR UJUNG,RT 7 RW 2
1708050020001000,17080500200010,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 10 RW 4
1708040005000100,17080400050001,040,005,TEBAT KARAI,TALANG KARET,DUSUN 1
1708010002100100,17080100021001,010,002,MUARA KEMUMU,BATU KALUNG,PERKEBUNAN
1708020014000400,17080200140004,020,014,BERMANI ILIR,BUKIT MENYAN,DUSUN 4
1708070009000500,17080700090005,070,009,UJAN MAS,PUNGGUK MERANTI,DUSUN 5
1708080003001500,17080800030015,080,003,MERIGI,DURIAN DEPUN,RT 15
1708060003000500,17080600030005,060,003,KABA WETAN,TANGSI DUREN,DUSUN 5
1708080004100100,17080800041001,080,004,MERIGI,PULO GETO,PERSAWAHAN DAN KEBUN
1708020015000500,17080200150005,020,015,BERMANI ILIR,SOSOKAN CINTO MANDI,DUSUN 5
1708070011000200,17080700110002,070,011,UJAN MAS,CUGUNG LALANG,DUSUN 2
1708020017000200,17080200170002,020,017,BERMANI ILIR,AIR RAMAN,DUSUN 2
1708030013000200,17080300130002,030,013,SEBERANG MUSI,SUNGAI JERNIH,DUSUN 2
1708050007000200,17080500070002,050,007,KEPAHIANG,WESKUST,DUSUN 2
1708070015000600,17080700150006,070,015,UJAN MAS,MERANTI JAYA,DUSUN 6
1708010003000300,17080100030003,010,003,MUARA KEMUMU,SOSOKAN BARU,DUSUN 3
1708010007000200,17080100070002,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 2
1708040003000300,17080400030003,040,003,TEBAT KARAI,PENANJUNG PANJANG,DUSUN 3
1708030007200100,17080300072001,030,007,SEBERANG MUSI,KANDANG,HUTAN
1708060009000100,17080600090001,060,009,KABA WETAN,TUGU REJO,DUSUN 1
1708040008000300,17080400080003,040,008,TEBAT KARAI,NANTI AGUNG,DUSUN 3
1708050021001400,17080500210014,050,021,KEPAHIANG,PADANG LEKAT,RT 14 RW 3
1708050005000400,17080500050004,050,005,KEPAHIANG,PASAR UJUNG,RT 4 RW 5
1708070001000100,17080700010001,070,001,UJAN MAS,DASPETAH,DUSUN 1
1708020014000600,17080200140006,020,014,BERMANI ILIR,BUKIT MENYAN,DUSUN 6
1708050019000600,17080500190006,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 6 RW 2
1708040006000200,17080400060002,040,006,TEBAT KARAI,TEBAT KARAI,RT 2 RW 1
1708070010000300,17080700100003,070,010,UJAN MAS,BUMI SARI,DUSUN 3
1708070017000200,17080700170002,070,017,UJAN MAS,DASPETAH II,DUSUN 2
1708080003000800,17080800030008,080,003,MERIGI,DURIAN DEPUN,RT 8
1708080003001000,17080800030010,080,003,MERIGI,DURIAN DEPUN,RT 10
1708070003000400,17080700030004,070,003,UJAN MAS,UJAN MAS ATAS,RT 4 RW 1
1708050009000800,17080500090008,050,009,KEPAHIANG,PENSIUNAN,RT 8 RW 2
1708080005000100,17080800050001,080,005,MERIGI,TABA MULAN,DUSUN 1
1708080006000200,17080800060002,080,006,MERIGI,SIMPANG KOTA BINGIN,DUSUN 2
1708070003000300,17080700030003,070,003,UJAN MAS,UJAN MAS ATAS,RT 3 RW 1
1708070014200200,17080700142002,070,014,UJAN MAS,PUNGGUK BERINGANG,HUTAN
1708040005000400,17080400050004,040,005,TEBAT KARAI,TALANG KARET,DUSUN 4
1708060007000500,17080600070005,060,007,KABA WETAN,BARAT WETAN,DUSUN 5
1708040006200200,17080400062002,040,006,TEBAT KARAI,TEBAT KARAI,HUTAN
1708060005000200,17080600050002,060,005,KABA WETAN,PEMATANG DONOK,DUSUN 2
1708050019000200,17080500190002,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 2 RW 1
1708050023000200,17080500230002,050,023,KEPAHIANG,PERMU BAWAH,DUSUN 2
1708020014000500,17080200140005,020,014,BERMANI ILIR,BUKIT MENYAN,DUSUN 5
1708020011000100,17080200110001,020,011,BERMANI ILIR,EMBONG SIDO,DUSUN 1
1708020010200100,17080200102001,020,010,BERMANI ILIR,GUNUNG AGUNG,HUTAN
1708020014000300,17080200140003,020,014,BERMANI ILIR,BUKIT MENYAN,DUSUN 3
1708080008000500,17080800080005,080,008,MERIGI,PULO GETO BARU,DUSUN 3
1708020008000200,17080200080002,020,008,BERMANI ILIR,CINTO MANDI,DUSUN 2
1708070004000200,17080700040002,070,004,UJAN MAS,SURO LEMBAK,DUSUN 2
1708070016000200,17080700160002,070,016,UJAN MAS,AIR HITAM,DUSUN 2
1708030013000300,17080300130003,030,013,SEBERANG MUSI,SUNGAI JERNIH,DUSUN 3
1708030009000300,17080300090003,030,009,SEBERANG MUSI,TALANG GELOMPOK,DUSUN 3
1708050010000800,17080500100008,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 8 RW 3
1708040008200100,17080400082001,040,008,TEBAT KARAI,NANTI AGUNG,HUTAN
1708040004100100,17080400041001,040,004,TEBAT KARAI,PERADUAN BINJAI,PERKEBUNAN
1708080008100100,17080800081001,080,008,MERIGI,PULO GETO BARU,SAWAH
1708080006000300,17080800060003,080,006,MERIGI,SIMPANG KOTA BINGIN,DUSUN 3
1708010005000400,17080100050004,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 4
1708070014200100,17080700142001,070,014,UJAN MAS,PUNGGUK BERINGANG,HUTAN
1708060003000200,17080600030002,060,003,KABA WETAN,TANGSI DUREN,DUSUN 2
1708030003000200,17080300030002,030,003,SEBERANG MUSI,TEBAT LAUT,DUSUN 2
1708060010000300,17080600100003,060,010,KABA WETAN,BANDUNG BARU,DUSUN 3
1708050002000100,17080500020001,050,002,KEPAHIANG,KELILIK,DUSUN 1
1708050021001300,17080500210013,050,021,KEPAHIANG,PADANG LEKAT,RT 13 RW 3
1708080007000300,17080800070003,080,007,MERIGI,BATU AMPAR,DUSUN 3
1708080008000100,17080800080001,080,008,MERIGI,PULO GETO BARU,DUSUN 1
1708070006000200,17080700060002,070,006,UJAN MAS,SURO MUNCAR,DUSUN 2
1708040008000200,17080400080002,040,008,TEBAT KARAI,NANTI AGUNG,DUSUN 2
1708050010000400,17080500100004,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 4 RW 1
1708070017000101,17080700170001,070,017,UJAN MAS,DASPETAH II,DUSUN 1
1708010005001200,17080100050012,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 12
1708010008000200,17080100080002,010,008,MUARA KEMUMU,WARUNG POJOK,DUSUN 2
1708050022000300,17080500220003,050,022,KEPAHIANG,BOGOR BARU,DUSUN 3
1708050001000200,17080500010002,050,001,KEPAHIANG,TEBAT MONOK,DUSUN 2
1708050002000200,17080500020002,050,002,KEPAHIANG,KELILIK,DUSUN 2
1708040011000300,17080400110003,040,011,TEBAT KARAI,TEBING PENYAMUN,DUSUN 3
1708050005000200,17080500050002,050,005,KEPAHIANG,PASAR UJUNG,RT 2 RW 1
1708070009100100,17080700091001,070,009,UJAN MAS,PUNGGUK MERANTI,KEBUN
1708080003000300,17080800030003,080,003,MERIGI,DURIAN DEPUN,RT 3
1708070008000100,17080700080001,070,008,UJAN MAS,PEKALONGAN,DUSUN 1
1708010004001100,17080100040011,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 11
1708050001000902,17080500010009,050,001,KEPAHIANG,TEBAT MONOK,DUSUN 9
1708050001000102,17080500010001,050,001,KEPAHIANG,TEBAT MONOK,DUSUN 1
1708040013000300,17080400130003,040,013,TEBAT KARAI,TABA SALING,DUSUN 3
1708040001000300,17080400010003,040,001,TEBAT KARAI,TERTIK,DUSUN 3
1708050021000700,17080500210007,050,021,KEPAHIANG,PADANG LEKAT,RT 7 RW 1
1708050009001200,17080500090012,050,009,KEPAHIANG,PENSIUNAN,RT 12 RW 3
1708070009000300,17080700090003,070,009,UJAN MAS,PUNGGUK MERANTI,DUSUN 3
1708060004000500,17080600040005,060,004,KABA WETAN,TANGSI BARU,RT 5 RW 1
1708050020000600,17080500200006,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 6 RW 3
1708020011000400,17080200110004,020,011,BERMANI ILIR,EMBONG SIDO,DUSUN 4
1708020014000100,17080200140001,020,014,BERMANI ILIR,BUKIT MENYAN,DUSUN 1
1708020012000100,17080200120001,020,012,BERMANI ILIR,TABA BARU,DUSUN 1
1708050009000700,17080500090007,050,009,KEPAHIANG,PENSIUNAN,RT 7 RW 2
1708010004000800,17080100040008,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 8
1708050006000200,17080500060002,050,006,KEPAHIANG,KARANG ENDAH,DUSUN 2
1708060009200100,17080600092001,060,009,KABA WETAN,TUGU REJO,HUTAN
1708060015000600,17080600150006,060,015,KABA WETAN,SIDO REJO,DUSUN 5
1708040007000200,17080400070002,040,007,TEBAT KARAI,TABA SATING,DUSUN 2
1708050015200100,17080500152001,050,015,KEPAHIANG,PELANGKIAN,HUTAN
1708050021000800,17080500210008,050,021,KEPAHIANG,PADANG LEKAT,RT 8 RW 2
1708070003000600,17080700030006,070,003,UJAN MAS,UJAN MAS ATAS,RT 6 RW 2
1708020006000300,17080200060003,020,006,BERMANI ILIR,EMBONG IJUK,DUSUN 3
1708080003001300,17080800030013,080,003,MERIGI,DURIAN DEPUN,RT 13
1708080004000600,17080800040006,080,004,MERIGI,PULO GETO,DUSUN 6
1708030003000300,17080300030003,030,003,SEBERANG MUSI,TEBAT LAUT,DUSUN 3
1708050001000500,17080500010005,050,001,KEPAHIANG,TEBAT MONOK,DUSUN 5
1708030001000400,17080300010004,030,001,SEBERANG MUSI,BENUANG GALING,DUSUN 4
1708020011200200,17080200112002,020,011,BERMANI ILIR,EMBONG SIDO,HUTAN
1708050012000600,17080500120006,050,012,KEPAHIANG,KUTO REJO,DUSUN 6
1708040002000100,17080400020001,040,002,TEBAT KARAI,TABA AIR PAUH,DUSUN 1
1708040014000200,17080400140002,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,DUSUN 2
1708030001000500,17080300010005,030,001,SEBERANG MUSI,BENUANG GALING,DUSUN 5
1708060008000200,17080600080002,060,008,KABA WETAN,AIR SEMPIANG,DUSUN 2
1708050014200100,17080500142001,050,014,KEPAHIANG,TABA TEBELET,HUTAN
1708010002000100,17080100020001,010,002,MUARA KEMUMU,BATU KALUNG,DUSUN 1
1708070010000500,17080700100005,070,010,UJAN MAS,BUMI SARI,DUSUN 5
1708070003200100,17080700032001,070,003,UJAN MAS,UJAN MAS ATAS,HUTAN
1708070013000200,17080700130002,070,013,UJAN MAS,TANJUNG ALAM,DUSUN 2
1708070001200100,17080700012001,070,001,UJAN MAS,DASPETAH,HUTAN
1708050017200100,17080500172001,050,017,KEPAHIANG,PAGAR GUNUNG,HUTAN
1708040010000300,17080400100003,040,010,TEBAT KARAI,TAPAK GEDUNG,DUSUN 3
1708030005000300,17080300050003,030,005,SEBERANG MUSI,LUBUK SAHUNG,DUSUN 3
1708030003000100,17080300030001,030,003,SEBERANG MUSI,TEBAT LAUT,DUSUN 1
1708010001000100,17080100010001,010,001,MUARA KEMUMU,LIMBUR BARU,DUSUN 1
1708020013000100,17080200130001,020,013,BERMANI ILIR,BATU BELARIK,DUSUN 1
1708050011000800,17080500110008,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 8 RW 4
1708040008000100,17080400080001,040,008,TEBAT KARAI,NANTI AGUNG,DUSUN 1
1708050001000801,17080500010008,050,001,KEPAHIANG,TEBAT MONOK,DUSUN 8
1708040001100100,17080400011001,040,001,TEBAT KARAI,TERTIK,HUTAN DAN KEBUN KOPI
1708050004000100,17080500040001,050,004,KEPAHIANG,PERMU,DUSUN 1
1708050010000600,17080500100006,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 6 RW 2
1708060006200100,17080600062001,060,006,KABA WETAN,BABAKAN BOGOR,HUTAN
1708060016000400,17080600160004,060,016,KABA WETAN,BANDUNG JAYA,DUSUN 4
1708070003200200,17080700032002,070,003,UJAN MAS,UJAN MAS ATAS,HUTAN
1708020013000400,17080200130004,020,013,BERMANI ILIR,BATU BELARIK,DUSUN 4
1708080007000200,17080800070002,080,007,MERIGI,BATU AMPAR,DUSUN 2
1708070015000700,17080700150007,070,015,UJAN MAS,MERANTI JAYA,DUSUN 7
1708070006000300,17080700060003,070,006,UJAN MAS,SURO MUNCAR,DUSUN 3
1708050016100200,17080500161002,050,016,KEPAHIANG,KELOBAK,PERKEBUNAN
1708020012000200,17080200120002,020,012,BERMANI ILIR,TABA BARU,DUSUN 2
1708030006000300,17080300060003,030,006,SEBERANG MUSI,TEMDAK,DUSUN 3
1708060011000300,17080600110003,060,011,KABA WETAN,SIDO MAKMUR,DUSUN 3
1708050009000101,17080500090001,050,009,KEPAHIANG,PENSIUNAN,RT 1 RW 1
1708050014000100,17080500140001,050,014,KEPAHIANG,TABA TEBELET,DUSUN 2
1708060004000800,17080600040008,060,004,KABA WETAN,TANGSI BARU,RT 8 RW 2
1708040004100200,17080400041002,040,004,TEBAT KARAI,PERADUAN BINJAI,PERKEBUNAN
1708050005000601,17080500050006,050,005,KEPAHIANG,PASAR UJUNG,RT 6 RW 2
1708050005000500,17080500050005,050,005,KEPAHIANG,PASAR UJUNG,RT 5 RW 2
1708020013000300,17080200130003,020,013,BERMANI ILIR,BATU BELARIK,DUSUN 3
1708060002000400,17080600020004,060,002,KABA WETAN,BUKIT SARI,DUSUN 4
1708070015100100,17080700151001,070,015,UJAN MAS,MERANTI JAYA,PERKEBUNAN
1708010002000400,17080100020004,010,002,MUARA KEMUMU,BATU KALUNG,DUSUN 4
1708050002200100,17080500022001,050,002,KEPAHIANG,KELILIK,HUTAN
1708050021000600,17080500210006,050,021,KEPAHIANG,PADANG LEKAT,RT 6 RW 1
1708050003000300,17080500030003,050,003,KEPAHIANG,IMIGRASI PERMU,DUSUN 3
1708050013000300,17080500130003,050,013,KEPAHIANG,KARANG ANYAR,DUSUN 3
1708050010001000,17080500100010,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 10 RW 3
1708050020000100,17080500200001,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 1 RW 1
1708010002000500,17080100020005,010,002,MUARA KEMUMU,BATU KALUNG,DUSUN 5
1708060012000300,17080600120003,060,012,KABA WETAN,SUMBER SARI,DUSUN 3
1708050019001000,17080500190010,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 10 RW 3
1708050009000500,17080500090005,050,009,KEPAHIANG,PENSIUNAN,RT 5 RW 2
1708050021001700,17080500210017,050,021,KEPAHIANG,PADANG LEKAT,RT 17 RW 3
1708050018000200,17080500180002,050,018,KEPAHIANG,SUKA MERINDU,DUSUN 2
1708040007000300,17080400070003,040,007,TEBAT KARAI,TABA SATING,DUSUN 3
1708030010000300,17080300100003,030,010,SEBERANG MUSI,AIR PESI,DUSUN 3
1708070013000400,17080700130004,070,013,UJAN MAS,TANJUNG ALAM,DUSUN 4
1708080001000200,17080800010002,080,001,MERIGI,LUBUK PENYAMUN,DUSUN 2
1708070001000500,17080700010005,070,001,UJAN MAS,DASPETAH,DUSUN 5
1708070008100100,17080700081001,070,008,UJAN MAS,PEKALONGAN,PERKEBUNAN
