IDSUBSLS,IDSLS,KDKEC,KDDESA,NMKEC,NMDESA,NMSLS
1708020004000300,17080200040003,020,004,BERMANI ILIR,TALANG SAWAH,DUSUN 3
1708040011100100,17080400111001,040,011,TEBAT KARAI,TEBING PENYAMUN,PERKEBUNAN
1708060003000600,17080600030006,060,003,KABA WETAN,TANGSI DUREN,DUSUN 6
1708040007100200,17080400071002,040,007,TEBAT KARAI,TABA SATING,PEREKEBUNAN
1708010007000500,17080100070005,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 5
1708080005000600,17080800050006,080,005,MERIGI,TABA MULAN,DUSUN 4
1708040012000100,17080400120001,040,012,TEBAT KARAI,SINAR GUNUNG,DUSUN 1
1708060001200100,17080600012001,060,001,KABA WETAN,SUKA SARI,HUTAN
1708060008000400,17080600080004,060,008,KABA WETAN,AIR SEMPIANG,DUSUN 4
1708050011001100,17080500110011,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 11 RW 4
1708070003001000,17080700030010,070,003,UJAN MAS,UJAN MAS ATAS,RT 10 RW 3
1708040003200200,17080400032002,040,003,TEBAT KARAI,PENANJUNG PANJANG,HUTAN
1708050004000300,17080500040003,050,004,KEPAHIANG,PERMU,DUSUN 3
1708030010000200,17080300100002,030,010,SEBERANG MUSI,AIR PESI,DUSUN 2
1708040014000100,17080400140001,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,DUSUN 1
1708040010000200,17080400100002,040,010,TEBAT KARAI,TAPAK GEDUNG,DUSUN 2
1708020001000500,17080200010005,020,001,BERMANI ILIR,KEMBANG SERI,DUSUN 5
1708050022000200,17080500220002,050,022,KEPAHIANG,BOGOR BARU,DUSUN 2
1708080008000400,17080800080004,080,008,MERIGI,PULO GETO BARU,DUSUN 4
1708020010000300,17080200100003,020,010,BERMANI ILIR,GUNUNG AGUNG,DUSUN 3
1708040011000200,17080400110002,040,011,TEBAT KARAI,TEBING PENYAMUN,DUSUN 2
1708050022000400,17080500220004,050,022,KEPAHIANG,BOGOR BARU,DUSUN 4
1708070008000500,17080700080005,070,008,UJAN MAS,PEKALONGAN,DUSUN 5
1708050012000300,17080500120003,050,012,KEPAHIANG,KUTO REJO,DUSUN 3
1708050022000100,17080500220001,050,022,KEPAHIANG,BOGOR BARU,DUSUN 1
1708020016000100,17080200160001,020,016,BERMANI ILIR,MUARA LANGKAP,DUSUN 1
1708020008000400,17080200080004,020,008,BERMANI ILIR,CINTO MANDI,DUSUN 4
1708040001000100,17080400010001,040,001,TEBAT KARAI,TERTIK,DUSUN 1
1708060002000100,17080600020001,060,002,KABA WETAN,BUKIT SARI,DUSUN 1
1708020015000400,17080200150004,020,015,BERMANI ILIR,SOSOKAN CINTO MANDI,DUSUN 4
1708060007000100,17080600070001,060,007,KABA WETAN,BARAT WETAN,DUSUN 1
1708020007000100,17080200070001,020,007,BERMANI ILIR,LIMBUR LAMA,DUSUN 1
1708020015000100,17080200150001,020,015,BERMANI ILIR,SOSOKAN CINTO MANDI,DUSUN 1
1708020008000300,17080200080003,020,008,BERMANI ILIR,CINTO MANDI,DUSUN 3
1708050011000700,17080500110007,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 7 RW 3
1708050009000900,17080500090009,050,009,KEPAHIANG,PENSIUNAN,RT 9 RW 3
1708070004000101,17080700040001,070,004,UJAN MAS,SURO LEMBAK,DUSUN 1
1708050001000300,17080500010003,050,001,KEPAHIANG,TEBAT MONOK,DUSUN 3
1708040005000300,17080400050003,040,005,TEBAT KARAI,TALANG KARET,DUSUN 3
1708030013000100,17080300130001,030,013,SEBERANG MUSI,SUNGAI JERNIH,DUSUN 1
1708080008000200,17080800080002,080,008,MERIGI,PULO GETO BARU,DUSUN 2
1708050019000400,17080500190004,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 4 RW 2
1708020002200100,17080200022001,020,002,BERMANI ILIR,PAGAR AGUNG,HUTAN
1708050015000100,17080500150001,050,015,KEPAHIANG,PELANGKIAN,DUSUN 1
1708080003000600,17080800030006,080,003,MERIGI,DURIAN DEPUN,RT 6
1708070009000600,17080700090006,070,009,UJAN MAS,PUNGGUK MERANTI,DUSUN 6
1708070015000400,17080700150004,070,015,UJAN MAS,MERANTI JAYA,DUSUN 4
1708080003001600,17080800030016,080,003,MERIGI,DURIAN DEPUN,RT 16
1708070006200100,17080700062001,070,006,UJAN MAS,SURO MUNCAR,HUTAN
1708030007000400,17080300070004,030,007,SEBERANG MUSI,KANDANG,DUSUN 4
1708050011000301,17080500110003,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 3 RW 2
1708050021000500,17080500210005,050,021,KEPAHIANG,PADANG LEKAT,RT 5 RW 1
1708050021000200,17080500210002,050,021,KEPAHIANG,PADANG LEKAT,RT 2 RW 1
1708050020000500,17080500200005,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 5 RW 2
